Unnamed: 0,Load,node,demand_avg,demand_ref,flex_fraction,flex_on_off,flex_basevalue,flex_storage,flex_storval_filling,flex_storval_time,flex_storagelevel_init,Unnamed: 12,Unnamed: 13,Unnamed: 14,status
42,SE3_1,SE3_1,635.1102026,load_SE3,0,0,0,0,,,0.5,,,,updated
43,SE3_5,SE3_5,588.6718335,load_SE3,0,0,0,0,,,0.5,,,,updated
44,SE2_7,SE2_7,308.1709125,load_SE2,0,0,0,0,,,0.5,,,,updated
45,SE3_3,SE3_3,2109.886038,load_SE3,0,0,0,0,,,0.5,,,,updated
46,SE3_10,SE3_10,406.7284267,load_SE3,0,0,0,0,,,0.5,,,,updated
47,SE2_6,SE2_6,168.4959392,load_SE2,0,0,0,0,,,0.5,,,,updated
48,SE3_2,SE3_2,469.9550708,load_SE3,0,0,0,0,,,0.5,,,,updated
49,SE1_3,SE1_3,676.9711221,load_SE1,0,0,0,0,,,0.5,,,,updated
50,SE3_9,SE3_9,821.4125575,load_SE3,0,0,0,0,,,0.5,,,,updated
51,SE3_8,SE3_8,726.3079315,load_SE3,0,0,0,0,,,0.5,,,,updated
52,SE3_6,SE3_6,2091.578936,load_SE3,0,0,0,0,,,0.5,,,,updated
53,SE1_1,SE1_1,554.4958144,load_SE1,0,0,0,0,,,0.5,,,,updated
54,SE3_4,SE3_4,879.3969308,load_SE3,0,0,0,0,,,0.5,,,,updated
55,SE2_4,SE2_4,184.4782482,load_SE2,0,0,0,0,,,0.5,,,,updated
56,SE3_7,SE3_7,811.0736958,load_SE3,0,0,0,0,,,0.5,,,,updated
57,SE2_5,SE2_5,307.0704609,load_SE2,0,0,0,0,,,0.5,,,,updated
58,SE2_2,SE2_2,394.2473807,load_SE2,0,0,0,0,,,0.5,,,,updated
59,GB,GB,32000.0,load_GB,0,0,0,0,,,0.5,,,,
60,DE,DE,47000.0,load_DE,0,0,0,0,,,0.5,,,,
61,NL,NL,9000.0,load_NL,0,0,0,0,,,0.5,,,,
62,EE,EE,1650.0,load_EE,0,0,0,0,,,0.5,,,,
63,LT,LT,2000.0,load_LT,0,0,0,0,,,0.5,,,,
64,PL,PL,11000.0,load_PL,0,0,0,0,,,0.5,,,,
65,NO1_IC_baseload,NO1_3,502.2,load_const,0,0,0,0,,,0.5,,,,IC_baseload
66,NO2_IC_baseload,NO2_1,502.2,load_const,0,0,0,0,,,0.5,,,,IC_baseload
67,NO3_IC_baseload,NO3_1,502.2,load_const,0,0,0,0,,,0.5,,,,IC_baseload
68,NO4_IC_baseload,NO4_1,502.2,load_const,0,0,0,0,,,0.5,,,,IC_baseload
69,NO5_IC_baseload,NO5_1,502.2,load_const,0,0,0,0,,,0.5,,,,IC_baseload
